C-Elemental(n,total) ENDF/B-VII.1
1.475E7,1.38063
1.4767E7,1.37748
1.4909E7,1.39922
1.4927E7,1.39647
1.4954E7,1.39694
1.4962E7,1.39677
1.4996E7,1.40337
1.5E7,1.39763
1.5178E7,1.4296
1.597E7,1.51348
1.599E7,1.51004
1.6E7,1.51548
1.6347E7,1.43541
1.6443E7,1.43816
1.6974E7,1.3957
1.7074E7,1.40586
1.73E7,1.39457
1.7301E7,1.40495
1.7467E7,1.40113
1.8053E7,1.45269
1.8087E7,1.44679
1.8158E7,1.4679
1.846E7,1.46166
1.87E7,1.48723
1.8833E7,1.48514
2.0E7,1.507
2.1E7,1.42601
2.2E7,1.403
2.4E7,1.413
4.75E7,0.985116
6.05E7,0.806876
7.9E7,0.620145
9.4E7,0.516127
1.1E8,0.44388
1.33E8,0.370712
1.5E8,0.335371
